,4/5/2020 08:37,"แต่รู้ว่าหลังจากม็อบจบลูกชายสุเทพซื้อที่ดินที่โคราช 280 ล้านบาทเก๋ๆ
นึกถึงเงินบริจาค #น้ำท่วมอุบล เลย เงินที่ได้ไปไม่รู้ถึงประชาชนที่เดือดร้อนรึยัง ไม่มีการชี้แจง ตรวจสอบไม่ได้ รัฐบาลของสลิ่ม"
,4/5/2020 08:37,คือแบบรัฐบาลมีเรื่องให้ด่าได้ทุกวัน สุดจัด
,4/5/2020 08:36,@LadyFaible ถ้ารัฐบาลชุดนี้ออก หนูว่าหนูร่าเริงเลย #ประเด้นอ่อนไหว
,4/5/2020 08:35,หลักฐานการมีอยู่ของโสวอนสองคนบนโลกในรัชสมัยรัฐบาลปะเย้ด 
,4/5/2020 08:35,"มารผจญมั้ยไม่รู้ แต่ด่ามั่วๆ บิดเบือน คือทุเรศ 

รัฐบาลนี้ มีเรื่องให้ตีเยอะ ไม่ต้องตีฟูก็นับไม่หวาดไม่ไหวแล้ว คุณเอ๋ย"
,4/5/2020 08:34,@KomsakAddams รัฐบาลหยุด!!!
,4/5/2020 08:34,แต่5000มีแจ้งนะ ว่าได้หรือไม่ได้ ไม่ใช่ให้นั่งมองหน้าเฟซทั้งวัน แล้วออกมาแพล่มว่าก็ไม่ใช่รัฐบาลนี่ จะได้แจกได้ทุกคน 🤣 
,4/5/2020 08:33,หมอชี้ รัฐบาลผ่อนปรนให้ขายเหล้าเร็วไปรอดูผล 7-14 วันจะมีคนตายจากอุบัติเหตุหรือไม่ | สยามรัฐ 
,4/5/2020 08:33,"@songkietchartwa @PCockea ปัญหาคือรัฐบาลไม่มีแผนในการปรับโครงสร้างทางเศรษฐกิจจากที่เป็นอยู่ในตอนนี้ที่พึ่งพาท่องเที่ยว+ส่งออกเป็นหลัก

ถึงข้อมูลน่าเชื่อถือ เศรษฐกิจไทยก็ไม่ฟื้น"
,4/5/2020 08:31,"หยุดด่าวันนึง.... 

#รัฐบาลเฮ็งซวย #รัฐบาลห่วยแตก #รัฐบาล "
,4/5/2020 08:30,"ผลโพลทุกอย่างของรัฐบาล ผ่านการออกความเห็นจาก 2 เพจ ดังนะครับ

เพจเนชั่ย กับ เพจเหรียญทอม

ซึ่งลูกเพจเป็นชาวสลิ่มอพยพ ไปที่ไหนก็โดนไล่เหมือนหมูเหมือนหมา

Cr.คาราโอเกะชั้นใต้ดิน
#เราไม่ทิ้ง #รัฐบาลส้นตีน #รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน "
,4/5/2020 08:29,"ส.ส.ใต้ เรียกร้อง รัฐบาล ช่วย คนไทยต่างแดน ด้วย #เนชั่นสุดสัปดาห์ 
"
,4/5/2020 08:29,สิตางค์หน่ะส้มหยุด ส่วนรัฐบาลก็แดรกไม่หยุด แดรกไม่หยุดแบบไม่มีอะไรมากั้น
,4/5/2020 08:28,"นักเรียนในเวียดนามกลับมาเรียนในโรงเรียนอีกครั้ง หลังรัฐบาลประกาศปิดโรงเรียนไปร่วม 3 เดือน ขณะที่มีรายงานพบผู้ติดเชื้อโควิด-19 ภายในประเทศรายใหม่ในรอบ 9 วัน
#VoiceOnline

"
,4/5/2020 08:28,รัฐบาลชุดนี้เขาเห็นหัวประชาชนด้วยเหรอ สักวันเถอะเงาหัวตัวเองมึงก็จะไม่เห็น
,4/5/2020 08:27,บางทีประเทศไทยอาจจะเป็นประเทศแรกบนโลกที่สามารถอยู่กับโควิดได้ โดยที่ไม่ต้องรักษา เพราะรัฐบาลหัวขวดไม่ตรวจ คนไม่รู้ อยู่วนๆ กันไป ตายก็บอกว่าเป็นปอดอักเสบ ไม่ยอมรับว่ามีโควิดอยู่ ไอ้สาดดดดด
